Setp Count,Reward,Steps Time,Time to MaxSetp,Stress,Stress2
1200,0.29,24,24,12,9
9900,0.14,198,198,99,3
6600,1.56,132,132,66,7
533,0.20,11,11,5,33
9900,0.54,198,198,99,5
9900,0.14,198,198,99,3
9900,0.24,198,198,99,8
1100,0.19,22,22,11,33
9900,0.14,198,198,99,8
450,0.00,9,9,5,83
1350,0.29,27,27,14,33
7000,1.46,140,140,70,1
2317,1.59,46,46,23,2
9900,0.14,198,198,99,17
1633,0.09,33,33,16,33
1500,1.39,30,30,15,9
3484,1.28,70,70,35,6
9900,0.04,198,198,99,9
9900,0.34,198,198,99,6
9900,0.34,198,198,99,4
7583,1.35,152,152,76,3
2467,1.29,49,49,25,2
850,0.09,17,17,9,67
9900,0.04,198,198,99,4
283,0.10,6,6,3,17
617,0.20,12,12,6,33
766,0.10,15,15,8,17
517,0.10,10,10,5,33
4267,1.37,85,85,43,5
9900,0.14,198,198,99,5
716,0.10,14,14,7,33
9900,0.44,198,198,99,7
9900,0.14,198,198,99,8
9900,-0.06,198,198,99,17
9900,0.24,198,198,99,2
1717,1.39,34,34,17,6
6033,0.36,121,121,60,17
717,0.20,14,14,7,9
333,0.00,7,7,3,2
2284,0.59,46,46,23,3
9900,-0.06,198,198,99,6
650,0.20,13,13,7,50
9900,-0.06,198,198,99,33
9900,0.04,198,198,99,6
9900,0.34,198,198,99,8
9900,0.14,198,198,99,9
9900,0.14,198,198,99,2
9900,0.54,198,198,99,8
9150,1.25,183,183,92,9
3033,1.28,61,61,30,7
700,0.20,14,14,7,17
2300,1.39,46,46,23,6
1050,0.09,21,21,11,50
9900,0.44,198,198,99,5
533,0.20,11,11,5,50
117,0.00,2,2,1,83
767,0.40,15,15,8,17
4366,0.27,87,87,44,5
9900,0.14,198,198,99,17
550,1.20,11,11,6,9
2550,1.48,51,51,26,8
9900,0.24,198,198,99,7
6734,1.36,135,135,67,1
333,0.30,7,7,3,8
1633,0.29,33,33,16,17
667,0.20,13,13,7,33
1467,0.29,29,29,15,1
300,0.20,6,6,3,17
7683,1.35,154,154,77,8
883,0.19,18,18,9,33
1650,0.19,33,33,17,9
2217,1.29,44,44,22,5
2933,1.18,59,59,29,5
884,1.19,18,18,9,6
9900,0.14,198,198,99,7
366,0.20,7,7,4,50
350,0.10,7,7,4,50
3734,1.48,75,75,37,3
2600,0.28,52,52,26,33
9900,0.14,198,198,99,6
1250,0.19,25,25,13,6
8950,1.45,179,179,90,5
566,0.30,11,11,6,33
484,0.20,10,10,5,17
333,0.10,7,7,3,5
1700,0.29,34,34,17,6
283,0.20,6,6,3,4
9217,1.34,184,184,92,7
317,0.20,6,6,3,33
433,0.20,9,9,4,33
9900,0.04,198,198,99,6
9900,0.14,198,198,99,17
467,0.20,9,9,5,17
250,0.10,5,5,3,17
350,0.20,7,7,4,50
400,0.20,8,8,4,17
4866,1.27,97,97,49,8
1434,0.09,29,29,14,17
1050,1.19,21,21,11,3
483,0.20,10,10,5,17
817,0.20,16,16,8,33
500,1.20,10,10,5,5
4450,1.17,89,89,45,2
2616,0.18,52,52,26,10
350,0.10,7,7,4,50
1100,0.19,22,22,11,50
767,0.30,15,15,8,50
800,0.20,16,16,8,5
9900,0.44,198,198,99,9
1567,1.29,31,31,16,1
9900,0.14,198,198,99,2
5800,1.47,116,116,58,3
266,0.20,5,5,3,50
5084,1.27,102,102,51,2
533,1.30,11,11,5,3
633,0.20,13,13,6,50
5817,1.47,116,116,58,4
283,0.10,6,6,3,67
500,0.20,10,10,5,33
2584,1.28,52,52,26,9
4966,1.27,99,99,50,10
350,0.20,7,7,4,33
1300,0.29,26,26,13,17
7034,1.16,141,141,70,7
700,0.20,14,14,7,50
7300,0.46,146,146,73,6
600,0.20,12,12,6,17
1966,1.19,39,39,20,2
1750,0.49,35,35,18,3
5317,1.27,106,106,53,3
9900,0.04,198,198,99,7
1467,1.69,29,29,15,4
3800,1.38,76,76,38,1
1166,1.39,23,23,12,1
2884,0.38,58,58,29,2
250,0.20,5,5,3,50
9900,0.04,198,198,99,9
3233,0.28,65,65,32,33
5533,1.47,111,111,55,8
217,0.00,4,4,2,67
650,0.30,13,13,7,33
983,1.29,20,20,10,5
2334,1.59,47,47,23,8
6483,1.26,130,130,65,9
200,0.20,4,4,2,33
2933,1.18,59,59,29,9
1734,1.39,35,35,17,4
9900,0.04,198,198,99,8
383,0.20,8,8,4,2
1283,1.29,26,26,13,6
9900,0.04,198,198,99,5
567,0.30,11,11,6,33
600,0.20,12,12,6,7
6967,1.16,139,139,70,1
483,0.20,10,10,5,33
483,0.30,10,10,5,33
734,0.20,15,15,7,33
533,0.20,11,11,5,17
9900,0.04,198,198,99,9
700,0.20,14,14,7,50
650,0.20,13,13,7,6
6733,1.36,135,135,67,6
9900,0.24,198,198,99,6
7250,1.16,145,145,73,9
9900,0.34,198,198,99,17
9900,0.04,198,198,99,2
8484,1.35,170,170,85,9
583,0.20,12,12,6,33
9900,0.34,198,198,99,17
9900,0.04,198,198,99,3
9900,0.24,198,198,99,7
9900,-0.06,198,198,99,17
467,0.20,9,9,5,50
633,1.20,13,13,6,9
9900,0.04,198,198,99,9
9900,0.34,198,198,99,2
2650,0.18,53,53,27,2
600,1.20,12,12,6,3
717,0.30,14,14,7,33
9900,0.34,198,198,99,9
9900,0.14,198,198,99,33
2366,1.39,47,47,24,9
334,0.20,7,7,3,17
816,1.30,16,16,8,10
9900,0.34,198,198,99,9
550,0.20,11,11,6,50
234,0.20,5,5,2,50
666,0.40,13,13,7,17
284,0.20,6,6,3,50
800,0.20,16,16,8,50
600,0.30,12,12,6,17
1433,0.19,29,29,14,17
9900,0.04,198,198,99,8
400,0.20,8,8,4,33
4133,1.28,83,83,41,3
867,1.49,17,17,9,6
350,0.10,7,7,4,67
9883,0.04,198,198,99,33
834,0.09,17,17,8,10
266,0.20,5,5,3,8
9700,1.34,194,194,97,6
1250,1.19,25,25,13,2
850,0.19,17,17,9,67
334,0.10,7,7,3,2
650,0.10,13,13,7,33
5116,0.17,102,102,51,33
350,0.20,7,7,4,17
717,0.20,14,14,7,33
500,0.20,10,10,5,1
267,0.20,5,5,3,33
633,0.20,13,13,6,67
9900,0.04,198,198,99,2
1450,-0.01,29,29,15,67
9900,0.14,198,198,99,2
317,1.20,6,6,3,7
9900,0.24,198,198,99,4
550,1.20,11,11,6,9
583,0.20,12,12,6,33
450,0.20,9,9,5,17
1300,1.19,26,26,13,4
9900,0.04,198,198,99,1
750,1.30,15,15,8,5
9900,0.14,198,198,99,33
2750,0.28,55,55,28,6
1267,0.19,25,25,13,50
733,1.20,15,15,7,7
650,0.20,13,13,7,17
567,0.20,11,11,6,50
6983,1.16,140,140,70,10
533,0.20,11,11,5,2
1667,0.29,33,33,17,7
2383,-0.01,48,48,24,50
467,0.20,9,9,5,17
9900,0.04,198,198,99,8
9900,0.24,198,198,99,8
817,0.20,16,16,8,1
450,0.20,9,9,5,17
7316,1.36,146,146,73,4
584,0.20,12,12,6,17
2633,1.18,53,53,26,1
4317,1.67,86,86,43,4
700,1.20,14,14,7,7
866,0.19,17,17,9,50
2550,0.28,51,51,26,5
684,0.20,14,14,7,33
1450,1.29,29,29,15,9
583,0.20,12,12,6,17
267,1.20,5,5,3,2
4350,1.57,87,87,44,7
550,0.20,11,11,6,17
2633,0.08,53,53,26,33
1717,0.19,34,34,17,50
9900,0.04,198,198,99,8
9900,-0.06,198,198,99,5
1100,0.09,22,22,11,50
883,0.19,18,18,9,17
6267,1.26,125,125,63,5
400,0.10,8,8,4,17
483,0.20,10,10,5,50
2533,0.38,51,51,25,2
9900,0.14,198,198,99,5
5467,0.47,109,109,55,8
717,0.20,14,14,7,50
8050,1.15,161,161,81,8
2233,1.59,45,45,22,5
7700,0.15,154,154,77,2
4533,1.17,91,91,45,8
9517,1.14,190,190,95,4
433,1.20,9,9,4,8
517,0.30,10,10,5,33
400,0.20,8,8,4,33
9900,0.34,198,198,99,5
1133,1.19,23,23,11,3
3034,1.18,61,61,30,6
2600,1.18,52,52,26,7
9900,0.24,198,198,99,2
9900,0.54,198,198,99,5
6066,1.46,121,121,61,3
4850,1.47,97,97,49,3
434,0.10,9,9,4,33
2750,1.18,55,55,28,4
9900,0.04,198,198,99,5
300,0.30,6,6,3,8
2616,0.48,52,52,26,8
550,1.20,11,11,6,4
5900,1.16,118,118,59,8
217,0.00,4,4,2,50
1383,0.39,28,28,14,17
9867,1.34,197,197,99,8
183,0.10,4,4,2,4
5467,0.17,109,109,55,3
2667,1.18,53,53,27,5
300,0.20,6,6,3,50
200,1.20,4,4,2,7
266,0.30,5,5,3,17
284,1.20,6,6,3,5
400,0.20,8,8,4,50
583,0.10,12,12,6,50
2350,0.39,47,47,24,6
1033,0.29,21,21,10,33
1250,1.39,25,25,13,3
3134,0.38,63,63,31,8
700,0.20,14,14,7,6
483,0.20,10,10,5,33
1833,0.09,37,37,18,50
300,0.20,6,6,3,50
6800,1.36,136,136,68,2
9900,0.04,198,198,99,2
5784,0.37,116,116,58,9
716,0.20,14,14,7,50
417,0.20,8,8,4,17
500,0.30,10,10,5,33
9900,0.34,198,198,99,5
483,0.10,10,10,5,50
8634,1.35,173,173,86,3
2366,1.19,47,47,24,8
434,0.10,9,9,4,67
9900,0.14,198,198,99,6
5166,1.57,103,103,52,4
8350,0.15,167,167,84,6
467,0.20,9,9,5,50
8283,0.45,166,166,83,9
4650,1.47,93,93,47,5
417,1.20,8,8,4,7
9900,0.44,198,198,99,9
433,0.10,9,9,4,2
684,0.20,14,14,7,8
400,0.00,8,8,4,17
400,0.20,8,8,4,50
9900,0.34,198,198,99,1
9900,0.24,198,198,99,6
9900,0.14,198,198,99,2
266,1.20,5,5,3,2
417,0.40,8,8,4,4
9900,0.34,198,198,99,6
9900,0.24,198,198,99,33
9900,0.24,198,198,99,5
2083,0.29,42,42,21,17
1917,0.19,38,38,19,9
9900,0.34,198,198,99,6
2650,0.18,53,53,27,9
433,0.30,9,9,4,3
9684,1.34,194,194,97,4
4116,0.18,82,82,41,7
150,0.30,3,3,2,50
434,0.30,9,9,4,33
316,1.30,6,6,3,10
2467,0.09,49,49,25,67
9650,1.34,193,193,97,9
3550,0.08,71,71,36,5
9900,0.14,198,198,99,17
2883,0.28,58,58,29,1
2400,1.39,48,48,24,1
9900,0.14,198,198,99,6
450,0.30,9,9,5,33
300,0.10,6,6,3,33
2817,1.18,56,56,28,2
317,1.20,6,6,3,10
416,0.10,8,8,4,17
9900,0.24,198,198,99,17
9900,0.04,198,198,99,8
700,0.20,14,14,7,50
9900,0.14,198,198,99,17
6350,1.16,127,127,64,3
2100,1.39,42,42,21,7
9900,0.04,198,198,99,3
9900,0.24,198,198,99,7
1617,0.29,32,32,16,9
9900,0.04,198,198,99,4
233,0.10,5,5,2,33
2817,1.38,56,56,28,5
1250,1.19,25,25,13,7
350,0.20,7,7,4,17
650,0.20,13,13,7,3
2317,1.19,46,46,23,5
3150,1.28,63,63,32,10
350,0.20,7,7,4,50
2550,1.18,51,51,26,10
5000,1.27,100,100,50,9
1233,0.19,25,25,12,50
200,0.00,4,4,2,17
583,0.30,12,12,6,33
8517,0.35,170,170,85,3
3033,1.28,61,61,30,9
1450,1.29,29,29,15,5
2517,0.28,50,50,25,2
6817,1.36,136,136,68,9
450,0.20,9,9,5,9
9900,-0.06,198,198,99,6
9900,0.04,198,198,99,2
433,0.20,9,9,4,33
350,1.20,7,7,4,2
517,1.20,10,10,5,4
3000,0.08,60,60,30,33
350,0.20,7,7,4,17
9900,0.24,198,198,99,7
283,0.10,6,6,3,33
1467,0.39,29,29,15,6
316,0.10,6,6,3,67
584,0.10,12,12,6,67
1733,1.19,35,35,17,9
9900,0.44,198,198,99,3
6617,1.56,132,132,66,2
9900,0.24,198,198,99,3
9900,0.24,198,198,99,5
1066,0.29,21,21,11,6
9900,0.14,198,198,99,17
2967,1.18,59,59,30,5
467,1.30,9,9,5,6
