Setp Count,Reward,Steps Time,Time to MaxSetp,Stress
1100,0.09,22,22,11
9900,0.24,198,198,99
2667,1.38,53,53,27
4150,1.38,83,83,42
9900,0.24,198,198,99
716,0.30,14,14,7
7900,1.55,158,158,79
8750,0.25,175,175,88
617,0.20,12,12,6
1583,1.39,32,32,16
9900,0.34,198,198,99
300,0.30,6,6,3
5634,0.37,113,113,56
9900,0.24,198,198,99
400,0.20,8,8,4
3266,0.18,65,65,33
9900,0.24,198,198,99
200,0.10,4,4,2
9900,0.14,198,198,99
9900,0.34,198,198,99
9900,0.34,198,198,99
1667,1.29,33,33,17
4683,1.27,94,94,47
3184,0.18,64,64,32
600,0.20,12,12,6
9900,0.04,198,198,99
9900,0.04,198,198,99
1816,1.49,36,36,18
450,0.10,9,9,5
9900,0.34,198,198,99
9900,0.24,198,198,99
9900,0.34,198,198,99
534,0.10,11,11,5
9900,0.14,198,198,99
6716,1.46,134,134,67
367,0.20,7,7,4
9900,0.24,198,198,99
9900,0.14,198,198,99
9900,0.04,198,198,99
750,0.20,15,15,8
600,1.50,12,12,6
333,0.20,7,7,3
767,0.20,15,15,8
1667,1.39,33,33,17
5433,1.37,109,109,54
633,0.20,13,13,6
7384,1.26,148,148,74
316,0.20,6,6,3
1034,0.29,21,21,10
9900,0.34,198,198,99
9900,0.14,198,198,99
9900,0.14,198,198,99
900,0.29,18,18,9
9900,0.14,198,198,99
5766,1.47,115,115,58
9900,0.34,198,198,99
9900,0.34,198,198,99
500,0.20,10,10,5
950,1.29,19,19,10
9900,0.34,198,198,99
284,0.10,6,6,3
366,0.20,7,7,4
417,0.10,8,8,4
533,0.20,11,11,5
434,0.30,9,9,4
416,0.20,8,8,4
9900,0.04,198,198,99
9900,0.14,198,198,99
167,0.10,3,3,2
9900,0.34,198,198,99
9900,0.14,198,198,99
2383,1.29,48,48,24
9900,0.14,198,198,99
6967,0.06,139,139,70
533,0.30,11,11,5
750,1.30,15,15,8
1717,0.19,34,34,17
650,0.20,13,13,7
650,0.30,13,13,7
517,0.10,10,10,5
9900,0.24,198,198,99
933,0.29,19,19,9
8483,0.25,170,170,85
484,0.30,10,10,5
9900,0.04,198,198,99
3983,1.28,80,80,40
617,0.20,12,12,6
9900,-0.06,198,198,99
9900,0.24,198,198,99
9900,0.14,198,198,99
9900,0.14,198,198,99
9900,0.14,198,198,99
9900,0.24,198,198,99
800,0.30,16,16,8
9900,0.04,198,198,99
9900,0.44,198,198,99
6833,0.06,137,137,68
3667,0.18,73,73,37
516,0.20,10,10,5
5967,1.26,119,119,60
9900,0.04,198,198,99
9900,0.44,198,198,99
9900,0.24,198,198,99
1617,1.39,32,32,16
1266,0.19,25,25,13
234,0.10,5,5,2
200,0.00,4,4,2
9900,0.24,198,198,99
5750,1.27,115,115,58
9900,-0.06,198,198,99
1083,0.19,22,22,11
1617,0.29,32,32,16
2433,0.19,49,49,24
9900,0.34,198,198,99
1717,1.29,34,34,17
9900,0.04,198,198,99
416,0.20,8,8,4
9900,-0.06,198,198,99
9900,0.24,198,198,99
8334,0.25,167,167,83
400,0.20,8,8,4
9900,0.14,198,198,99
9900,0.14,198,198,99
3750,1.38,75,75,38
850,0.19,17,17,9
633,0.30,13,13,6
6917,1.26,138,138,69
933,0.19,19,19,9
9900,0.44,198,198,99
267,0.10,5,5,3
9900,0.14,198,198,99
9900,0.34,198,198,99
1116,0.19,22,22,11
9900,0.24,198,198,99
434,0.20,9,9,4
6766,1.36,135,135,68
9900,0.14,198,198,99
1384,1.39,28,28,14
9900,0.14,198,198,99
9900,0.14,198,198,99
9900,0.34,198,198,99
9900,0.04,198,198,99
283,1.40,6,6,3
9900,0.44,198,198,99
2967,1.28,59,59,30
316,1.30,6,6,3
4984,1.37,100,100,50
2133,0.39,43,43,21
367,0.10,7,7,4
5416,1.27,108,108,54
384,0.20,8,8,4
9900,0.14,198,198,99
716,0.20,14,14,7
9900,0.04,198,198,99
9900,0.14,198,198,99
9900,0.24,198,198,99
584,0.10,12,12,6
650,0.20,13,13,7
233,0.00,5,5,2
617,0.20,12,12,6
3800,1.28,76,76,38
2166,0.19,43,43,22
700,0.10,14,14,7
9900,0.34,198,198,99
4800,1.37,96,96,48
550,0.30,11,11,6
4350,1.37,87,87,44
9900,0.14,198,198,99
9650,0.04,193,193,97
3550,0.28,71,71,36
3817,0.38,76,76,38
8100,1.25,162,162,81
9633,1.34,193,193,96
267,0.10,5,5,3
333,0.00,7,7,3
9900,-0.06,198,198,99
700,0.10,14,14,7
9184,1.24,184,184,92
9900,0.14,198,198,99
4516,0.57,90,90,45
267,0.20,5,5,3
383,0.20,8,8,4
9900,0.14,198,198,99
450,1.40,9,9,5
9900,0.34,198,198,99
4134,1.38,83,83,41
950,0.19,19,19,10
4433,1.27,89,89,44
9900,0.04,198,198,99
5133,0.37,103,103,51
9900,0.24,198,198,99
350,0.20,7,7,4
550,0.10,11,11,6
5634,1.27,113,113,56
4200,0.17,84,84,42
2366,1.29,47,47,24
9900,0.34,198,198,99
9900,0.14,198,198,99
9900,0.34,198,198,99
9900,0.24,198,198,99
2850,1.38,57,57,29
450,0.20,9,9,5
1050,1.39,21,21,11
334,0.20,7,7,3
750,1.50,15,15,8
9900,0.14,198,198,99
450,0.10,9,9,5
9900,0.14,198,198,99
366,0.10,7,7,4
9900,0.24,198,198,99
584,0.10,12,12,6
3150,1.38,63,63,32
9900,0.34,198,198,99
9900,0.24,198,198,99
9750,1.34,195,195,98
300,1.30,6,6,3
9900,0.14,198,198,99
9900,0.44,198,198,99
1666,1.59,33,33,17
534,0.30,11,11,5
9900,0.04,198,198,99
9900,0.14,198,198,99
366,0.20,7,7,4
350,0.30,7,7,4
7717,0.15,154,154,77
317,0.10,6,6,3
9900,0.44,198,198,99
9900,0.14,198,198,99
9900,0.24,198,198,99
9900,0.34,198,198,99
9900,0.14,198,198,99
4850,1.27,97,97,49
833,0.09,17,17,8
2350,1.29,47,47,24
9900,0.24,198,198,99
2083,1.49,42,42,21
600,0.20,12,12,6
5050,0.17,101,101,51
234,0.10,5,5,2
9900,0.34,198,198,99
1616,0.09,32,32,16
6484,1.26,130,130,65
9900,0.34,198,198,99
200,0.10,4,4,2
9900,0.24,198,198,99
300,0.20,6,6,3
200,0.00,4,4,2
316,0.20,6,6,3
9634,0.14,193,193,96
450,0.20,9,9,5
9900,0.34,198,198,99
3983,0.08,80,80,40
2667,0.28,53,53,27
416,0.20,8,8,4
334,0.10,7,7,3
616,0.30,12,12,6
784,0.30,16,16,8
