Setp Count,Reward,Steps Time,Time to MaxSetp
917,0.1944999,18.32813,18.32813
1283,0.09229997,25.67188,25.67188
967,0.2942,19.32813,19.32813
1400,0.1915999,28,28
5200,1.2688,104,104
3950,1.376301,79,79
4466,1.3732,89.33594,89.33594
7584,1.3545,151.6641,151.6641
266,0.1984,5.335938,5.335938
2684,0.2839,53.66406,53.66406
450,0.2973002,9,9
2450,1.485301,49,49
533,0.1968,10.67188,10.67188
5733,0.3656031,114.6641,114.6641
384,0.1976,7.679688,7.679688
500,0.197,10,10
500,0.197,10,10
883,0.2947002,17.67188,17.67188
1800,0.2892002,36,36
750,0.09549995,15,15
4067,1.2756,81.32813,81.32813
2350,0.2858998,47,47
683,0.1958999,13.67188,13.67188
517,0.2969002,10.32813,10.32813
6200,1.562803,124,124
216,0.1987,4.335938,4.335938
1517,0.2909,30.33594,30.33594
3217,1.380701,64.32813,64.32813
3083,1.3815,61.67188,61.67188
200,-0.0013,4.015625,4.015625
6900,1.458604,138,138
7583,1.254399,151.6797,151.6797
1300,0.2922001,26,26
3734,1.3776,74.66406,74.66406
2933,1.3824,58.67188,58.67188
2233,1.2865,44.67969,44.67969
517,-0.0031,10.33594,10.33594
1067,0.2936004,21.32813,21.32813
400,0.1976,8,8
4383,0.07369956,87.67188,87.67188
1317,0.2920001,26.34375,26.34375
5050,0.1696997,101,101
1000,0.2940004,20,20
4383,1.573701,87.67188,87.67188
1100,0.1933999,22,22
533,0.1968,10.66406,10.66406
1834,0.1889999,36.66406,36.66406
450,0.09729997,9,9
1800,0.08919998,36,36
283,0.09819999,5.671875,5.671875
433,0.1974,8.664063,8.664063
334,0.198,6.664063,6.664063
350,0.09779997,7,7
1100,0.2934003,22,22
1083,0.1934999,21.67188,21.67188
6250,1.2625,125,125
9950,0.2403034,199,199
317,-0.001899999,6.328125,6.328125
1400,0.1915999,28,28
716,1.3956,14.33594,14.33594
7034,1.357804,140.6641,140.6641
1350,1.3919,27,27
1650,0.19,33,33
1950,1.388301,39,39
1033,0.2938002,20.67188,20.67188
783,-0.004699999,15.66406,15.66406
1000,0.1939999,20,20
2500,1.285,50,50
4350,0.1738996,87,87
950,1.2943,19,19
1550,0.1906999,31,31
3700,0.1776997,74.01563,74.01563
4050,0.3757026,81,81
817,0.1950999,16.33594,16.33594
633,0.1961,12.67969,12.67969
334,0.1979,6.679688,6.679688
1466,0.2912004,29.33594,29.33594
250,0.1985,5,5
434,0.1974,8.664063,8.664063
5316,0.1680996,106.3359,106.3359
6950,0.1582993,139,139
3200,0.08079968,64,64
400,0.09759998,8,8
2484,0.1850998,49.66406,49.66406
883,0.1946999,17.67188,17.67188
217,-0.0013,4.328125,4.328125
616,0.1963,12.33594,12.33594
317,0.09809997,6.335938,6.335938
417,0.1975,8.328125,8.328125
1183,0.1928999,23.67188,23.67188
1033,0.2938003,20.66406,20.66406
350,-0.002099999,7,7
417,0.09749997,8.335938,8.335938
800,0.2952001,16,16
3633,1.478201,72.66406,72.66406
2450,0.1852998,49,49
584,0.1965,11.66406,11.66406
3200,1.2808,64,64
2300,1.2862,46,46
3566,0.3786002,71.33594,71.33594
4934,0.1702995,98.67969,98.67969
1383,1.2917,27.67188,27.67188
1500,0.1909999,30,30
1467,0.1912,29.32813,29.32813
366,0.09769998,7.335938,7.335938
5450,0.4673038,109,109
1050,-0.006399997,21.01563,21.01563
1917,0.3885005,38.33594,38.33594
1733,0.1895998,34.66406,34.66406
3567,0.3786004,71.33594,71.33594
3650,0.1779999,73.01563,73.01563
6317,1.2621,126.3281,126.3281
2333,0.2860009,46.67188,46.67188
700,0.1957999,14,14
450,0.1973,9,9
1483,1.391,29.67969,29.67969
4750,1.2714,95.01563,95.01563
9300,0.3441999,186,186
350,0.09779997,7.015625,7.015625
9684,0.141899,193.6641,193.6641
6283,1.262199,125.6719,125.6719
4383,0.2737004,87.66406,87.66406
250,-0.0015,5,5
267,-0.0016,5.335938,5.335938
2550,0.08469988,51,51
2567,0.08460002,51.32813,51.32813
266,1.3984,5.335938,5.335938
117,-0.0007,2.335938,2.335938
2600,1.2844,52,52
7783,1.5533,155.6641,155.6641
517,0.1969,10.33594,10.33594
4233,0.1745,84.67969,84.67969
